Name_1,Mod,Nc,Q,C,Fn,f1,mag1_1,f2,mu02,f3,mag3,f4,mu04,f5,mag5,mag1_2,mag2,mstar,dmean,type,t_1,incl,Dist,__T_,__F_
NGC1326A,_dbarf,2,5,BAR,ferrer2,,,,,,,0.021,23.073,,,14.24,14.678,8.894,16.894,Sm,8.9,58.08,16.9,9.5,1.0
NGC1338,_dbar,2,5,BAR,ferrer2,,,,,,,0.075,17.656,,,12.573,12.969,10.109,,SABb,3.1,18.41,33.0,6.0,1.0
NGC1341,_dbar,2,5,BAR,ferrer2,,,,,,,0.141,19.203,,,12.19,12.562,9.665,16.9,Sa,1.3,43.78,16.9,7.5,1.0
NGC1345,_dbar,2,5,BAR,ferrer2,,,,,,,0.215,19.145,,,13.5,13.975,9.277,18.1,Sc,5.2,35.56,18.1,9.0,1.0
NGC1350,_bdbarfn,4,5,BAR,ferrer2,,,,,,,0.095,20.538,,,9.94,10.411,10.825,20.938,Sab,1.9,64.79,20.9,0.0,0.38
NGC1365,_bdbarfn,4,5,BAR,ferrer2,,,,,,,0.143,19.892,,,8.699,8.89,10.978,17.926,Sb,3.2,62.71,17.9,4.0,1.0
NGC1367,_bdbar,3,5,BAR,ferrer2,,,,,,,0.058,20.326,,,10.351,10.805,10.739,23.25,Sa,1.1,51.95,23.3,0.0,0.5
NGC1398,_bdbarf,3,5,BAR,ferrer2,,,,,,,0.111,19.292,,,9.166,9.63,11.133,21.033,SBab,2.0,47.73,,1.0,1.0
NGC1452,_bdbarf,3,5,BAR,ferrer2,,,,,,,0.197,19.502,,,11.251,11.759,10.402,22.8,S0-a,0.4,46.48,,0.0,1.0
NGC1483,_dbar,2,5,BAR,ferrer2,,,,,,,0.087,21.725,,,12.973,13.418,9.584,20.72,SBbc,4.0,37.3,20.7,7.5,1.0
NGC1493,_dbarn,3,5,BAR,ferrer2,,,,,,,0.029,20.501,,,11.45,11.84,9.625,11.3,SBc,6.0,22.81,11.3,5.5,1.0
NGC1533,_bdbar,3,5,BAR,ferrer2,,,,,,,0.063,19.925,,,10.39,10.914,10.57,18.38,E-S0,-2.5,64.79,18.4,-2.0,1.0
NGC1559,_dbarf,2,5,BAR,ferrer2,,,,,,,0.012,18.672,,,10.215,10.587,10.39,15.681,SBc,5.9,60.19,,6.0,1.0
NGC1637,_dbarn,3,5,BAR,ferrer2,,,,,,,0.05,18.617,,,10.561,11.027,9.99,10.703,Sc,5.0,31.1,,3.0,0.5
NGC1640,_bdbarfn,4,5,BAR,ferrer2,,,,,,,0.136,19.771,,,11.372,11.856,10.181,19.1,Sb,3.0,17.22,19.1,1.5,1.0
NGC1672,_bdbarf,3,5,BAR,ferrer2,,,,,,,0.121,19.951,,,9.355,9.72,10.661,14.5,Sb,3.3,28.23,,3.0,0.75
NGC1679,_dbar,2,5,BAR,ferrer2,,,,,,,0.085,20.611,,,11.954,12.358,9.537,12.729,SBm,9.4,49.12,12.7,9.5,1.0
NGC1688,_dbarn,3,5,BAR,ferrer2,,,,,,,0.16,19.283,,,11.976,12.363,9.684,15.45,SBc,6.2,48.22,,8.0,1.0
NGC1800,_dbar,2,5,BAR,ferrer2,,,,,,,0.182,20.342,,,12.811,13.238,8.74,7.4,S?,8.0,46.96,7.4,10.0,1.0
NGC1879,_dbarn,3,5,BAR,ferrer2,,,,,,,0.115,22.868,,,13.188,13.567,9.461,21.05,SBm,8.6,52.37,21.1,9.0,0.5
NGC2500,_dbarn,3,5,BAR,ferrer2,,,,,,,0.018,21.756,,,11.817,12.261,9.42,10.1,Scd,7.0,20.61,10.1,6.5,0.5
NGC2608,_dbarfn,3,5,BAR,ferrer2,,,,,,,0.062,20.449,,,11.878,12.309,10.225,26.512,Sb,3.3,64.33,26.5,3.0,0.62
NGC2633,_bdbar,3,5,BAR,ferrer2,,,,,,,0.192,19.29,,,11.307,11.665,10.488,29.386,Sb,3.0,53.76,29.4,3.0,0.5
NGC2701,_dbar,2,5,BAR,ferrer2,,,,,,,0.047,17.529,,,12.233,12.647,10.445,40.831,SABc,5.2,49.23,40.8,3.5,0.25
NGC2743,_dbar,2,5,BAR,ferrer2,,,,,,,0.014,17.27,,,13.296,13.739,10.09,,Sd,7.9,53.54,39.9,8.5,1.0
